lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Ручной инструмент и оснастка Круги полировальные,30.5,34.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка круги полировальные,Ручной инструмент и оснастка,Круги полировальные,ручной инструмент и оснастка,круги полировальные
Ручной инструмент и оснастка Штангенциркули,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка штангенциркули,Ручной инструмент и оснастка,Штангенциркули,ручной инструмент и оснастка,штангенциркули
Ручной инструмент и оснастка Бокорезы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка бокорезы,Ручной инструмент и оснастка,Бокорезы,ручной инструмент и оснастка,бокорезы
Ручной инструмент и оснастка Шнеки,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка шнеки,Ручной инструмент и оснастка,Шнеки,ручной инструмент и оснастка,шнеки
Ручной инструмент и оснастка Ножницы по металлу,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ножницы по металлу,Ручной инструмент и оснастка,Ножницы по металлу,ручной инструмент и оснастка,ножницы по металлу
Ручной инструмент и оснастка Лотки для метизов,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка лотки для метизов,Ручной инструмент и оснастка,Лотки для метизов,ручной инструмент и оснастка,лотки для метизов
Ручной инструмент и оснастка Ванночки малярные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ванночки малярные,Ручной инструмент и оснастка,Ванночки малярные,ручной инструмент и оснастка,ванночки малярные
Ручной инструмент и оснастка Напильники и надфили,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка напильники и надфили,Ручной инструмент и оснастка,Напильники и надфили,ручной инструмент и оснастка,напильники и надфили
Ручной инструмент и оснастка Смазки для откручивания,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка смазки для откручивания,Ручной инструмент и оснастка,Смазки для откручивания,ручной инструмент и оснастка,смазки для откручивания
Ручной инструмент и оснастка Насадки для гравера,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка насадки для гравера,Ручной инструмент и оснастка Насадки для,гравера,ручной инструмент и оснастка насадки для,гравера
